	Kategorier	Tags	Ledige jobs
0	Bør­ne­pas­ning	Dagplejer, barnepige, au pair	45
1	Frisørogpersonligpleje	Kos­me­to­log, frisør	31
2	Hotel,re­stau­rantogkøkken	Kok, er­næ­rings­as­si­stent, tjener	943
3	De­tail­han­del	Salgs­as­si­stent, bu­tiksas­si­stent	745
4	Service	Ser­vi­ce­me­d­ar­bej­der, par­ke­rings­vagt	77
5	Rengøring	Ren­gø­rings­as­si­stent, sanitør	376
6	Ejen­doms­ser­vi­ce	Vicevært, pedel	160
7	Budogud­bring­ning	Pizzabud, postbud, cykelbud	19
8	Sikkerhed	Vagt, brandmand, livredder	57
9	De­tail­le­del­se	Bu­tiks­chef, store manager	412
