	Kategorier	Tags	Ledige jobs
0	Byggeoganlæg	Murer, brolægger, fugt­tek­ni­ker	246
1	Landbrug,skovogfiskeri	Gartner, agronom, dy­re­pas­ser	203
2	Nærings-ogny­del­ses­mid­del	Mejerist, slagter, bager	154
3	Tømrerogsnedker	Glar­me­ster, tagdækker, montør	148
4	In­du­stri­elpro­duk­tion	Pro­duk­tions­me­d­ar­bej­der, pro­ces­o­pe­ra­tør, in­du­stri­me­d­ar­bej­der	401
5	Lager	La­ger­me­d­ar­bej­der, re­ser­ve­del­s­eks­pe­di­ent	373
6	Elek­tri­ker	Elek­tri­ker, el-in­stal­la­tør, au­to­ma­tik­tek­ni­ker	674
7	Transport	Chauffør, skibs­fø­rer, vognmand	289
8	Jernogmetal	Smed, svejser, værk­tøjs­ma­ger	324
9	Tekstilogkunst­hånd­værk	Mø­bel­pol­strer, guldsmed, dekoratør	15
10	Mekanikogauto	Mekaniker, au­to­la­ke­rer	611
11	Blikogrør	Blik­kensla­ger, vvs, kø­lemontør	134
12	Malingogover­fla­de­be­hand­ling	Maler, sand­blæ­ser, in­du­stri­la­ke­rer	48
13	Træ-ogmø­be­lin­du­stri	Mø­bels­ned­ker, tr­ælast­sæl­ger, ma­skin­s­ned­ker	24
