	Kategorier	Tags	Ledige jobs
0	In­for­ma­tions­tek­no­lo­gi	IT-supporter, sy­stem­ud­vik­ling	1323
1	Ingeniørogteknik	Ma­skin­me­ster, far­ma­ko­nom	2205
2	Ledelseogpersonale	Pro­jekt­le­der, per­so­na­le­ansvar­lig	2575
3	Handelogservice	Kok, salgs­as­si­stent, rengøring	2753
4	Industrioghåndværk	Elek­tri­ker, chauffør, bager	3140
5	Salgogkom­mu­ni­ka­tion	Salgs­kon­su­lent, jour­na­list, kul­tur­for­mid­ler	1552
6	Un­der­vis­ning	Pædagog, forsker, lærer	2492
7	Kontorogøkonomi	Re­cep­tio­nist, jurist, bogholder	3602
8	Socialogsundhed	Sy­geple­jer­ske, so­ci­al­rå­d­gi­ver, læge	2909
9	Øvrigestil­lin­ger	Elev­plad­ser, studiejob, praktik	3308
