	Kategorier	Tags	Ledige jobs
0	Ejen­doms­mæg­ler	Ejen­doms­mæg­ler	27
1	Ejen­doms­ser­vi­ce	Vicevært, pedel	160
2	Finansogfor­sik­ring	Bank­rå­d­gi­ver, taksator, skadechef	374
3	Indkøb	Indkøber, ind­købsas­si­stent	185
4	Jura	Advokat, jurist, per­son­da­ta	308
5	Kontor	Kon­to­ras­si­stent, kun­de­ser­vi­ce	902
6	Kon­to­re­lev	Kon­to­re­lev, øko­no­mi­e­lev, fi­nan­se­lev	174
7	Logistikogspedition	Speditør, disponent, supply chain	257
8	Offentligad­mi­ni­stra­tion	Virk­som­heds­kon­su­lent, job­kon­su­lent	172
9	Over­sæt­tel­seogsprog	Tolk, over­sæt­ter, kor­re­spon­dent	64
10	Sekretærogreception	Sekretær, re­cep­tio­nist, sko­le­se­kre­tær	132
11	Økonomiogregnskab	Bogholder, con­trol­ler, økonom	1095
12	Øko­no­mi­le­del­se	Øko­no­mi­chef, regn­skabs­chef	79
13	Kontor-ogøko­no­mi­kur­serforledige	SAP, Excel, PRINCE2	2
14	Akademiskogpolitiskarbejde	Fuld­mæg­tig, AC´er, ana­ly­ti­ker	383
