	Kategorier	Tags	Ledige jobs
0	IT-ledelse	IT-manager,  IT-pro­jekt­le­der	211
1	PersonaleogHR	HR-assistent, re­k­rut­te­rings­kon­su­lent	245
2	Top­le­del­seogbe­sty­rel­se	Ad­mi­ni­stre­ren­de direktør, CEO	38
3	Ledelse	Ind­købs­chef, af­de­lings­le­der, lo­gi­stik­chef	542
4	Fre­elan­ce­kon­su­lent	Fre­elan­cer	9
5	Pro­jekt­le­del­se	Pro­jekt­le­der, project manager	583
6	Salgs­le­del­se	Salgschef, sales manager	81
7	In­sti­tu­tions-ogskole­le­del­se	Skole­le­der, for­stan­der, rektor	246
8	Øko­no­mi­le­del­se	Øko­no­mi­chef, regn­skabs­chef	79
9	HR-ogle­del­ses­kur­serforledige	Pro­jekt­le­del­se, ledelse i praksis	1
10	Ledelseindenforingeniørogteknik	Pro­duk­tions­le­der, drifts­chef	286
11	De­tail­le­del­se	Bu­tiks­chef, store manager	412
12	Virk­som­heds­ud­vik­ling	For­ret­nings­ud­vik­ler, bæ­re­dyg­tig­heds­kon­su­lent	99
