	Kategorier	Tags	Ledige jobs
0	Kom­mu­ni­ka­tionogjour­na­li­stik	Kom­mu­ni­ka­tions­me­d­ar­bej­der, jour­na­list, tekst­for­fat­ter	182
1	Marketing	Kampag­ne­me­d­ar­bej­der, mar­ke­ting­ko­or­di­na­tor, SEO manager	338
2	Te­le­mar­ke­ting	Phoner, te­le­fon­sæl­ger, te­le­fo­nin­ter­viewer	46
3	Salg	Account manager, sælger, salgs­kon­su­lent	761
4	Ejen­doms­mæg­ler	Ejen­doms­mæg­ler	27
5	Kulturogkirke	Mu­se­ums­in­spek­tør, kul­tur­for­mid­ler, sog­ne­præst	139
6	Salgs­le­del­se	Salgschef, sales manager	81
7	Grafisk	Grafiker, fotograf, trykker, web­de­sig­ner	65
8	Designogform­giv­ning	Designer, in­dret­nings­kon­su­lent, dekoratør	27
9	Salgs-ogkom­mu­ni­ka­tions­kur­serforledige	SAP, sociale medier, digital mar­keds­fø­ring	1
10	Selv­stæn­digvirk­som­heds­drift	Franchise, forpagter	18
