,Navn,Antal
0,Pædagog,23896
1,Studiejob og fritidsjob,23880
2,Detailhandel,20987
3,Økonomi og regnskab,19319
4,Salg,18182
5,Kontor,18082
6,Pleje og omsorg,17678
7,"Hotel, restaurant og køkken",16159
8,Rengøring,12760
9,Sygeplejerske og jordemoder,12129
10,Ledelse,9684
11,Lager,8997
12,Transport,8170
13,Lærer,8044
14,Bygge- og anlægsteknik,7801
15,Systemudvikling og programmering,7777
16,Elevpladser,7650
17,Elektriker,7415
18,Industriel produktion,7375
19,Maskinteknik,6810
20,Projektledelse,6782
21,Finans og forsikring,6714
22,Sekretær og reception,5717
23,Mekanik og auto,5469
24,IT-drift og support,5279
25,Læge,4883
26,Detailledelse,4634
27,Produktions- og procesteknik,4507
28,Jern og metal,4442
29,Kemi og bioteknik,4381
30,Socialrådgivning,4026
31,Institutions- og skoleledelse,3829
32,Offentlig administration,3750
33,Marketing,3746
34,Logistik og spedition,3744
35,Personale og HR,3706
36,Lægesekretær,3658
37,Elektroteknik,3487
38,Medicinal og levnedsmiddel,3374
39,Bygge og anlæg,3254
40,Tømrer og snedker,3074
41,Indkøb,2885
42,Øvrige,2828
43,Terapi og genoptræning,2815
44,Nærings- og nydelsesmiddel,2763
45,Blik og rør,2392
46,Jura,2342
47,Ejendomsservice,2263
48,Økonomi- og virksomhedssystemer,2107
49,Ledelse inden for ingeniør og teknik,1999
50,"Landbrug, skov og fiskeri",1972
51,Kommunikation og journalistik,1812
52,Økonomiledelse,1438
53,Kontorelev,1427
54,Børnepasning,1425
55,Forskning,1425
56,Voksenuddannelse,1423
57,Maling og overfladebehandling,1367
58,Grafisk,1343
59,Tandlæge og klinikpersonale,1255
60,Psykologi og psykiatri,1196
61,Salgsledelse,1188
62,IT-ledelse,1134
63,Telemarketing,1093
64,Frisør og personlig pleje,1073
65,Internet og WWW,1006
66,Kultur og kirke,867
67,Sikkerhed,837
68,Oversættelse og sprog,678
69,Design og formgivning,661
70,Freelancekonsulent,610
71,Bibliotek,607
72,Tele- og datakommunikation,587
73,Ejendomsmægler,580
74,Studiepraktik,576
75,Teknisk sundhedsarbejde,495
76,Service,477
77,Bud og udbringning,470
78,Frivilligt arbejde,431
79,Tekstil og kunsthåndværk,397
80,Topledelse og bestyrelse,381
81,Database,378
82,Akademisk og politisk arbejde,364
83,Træ- og møbelindustri,301
84,Selvstændig virksomhedsdrift,197
85,Forsvar og efterretning,109
86,Ingeniør og teknik (nedlagt),49
87,Øvrige kurser for ledige,26
88,HR- og ledelseskurser for ledige,22
89,Kontor- og økonomikurser for ledige,15
90,Virksomhedsudvikling,6
91,IT-kurser for ledige,5
92,Salgs- og kommunikationskurser for ledige,4
